"stimulation" "img" "nucleus" "size" "elongation" "x" "y" "z" "mean" "sigma" "threshold" "otsu"
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_17m2.lsm" 2 3.38077301353 558.803682877 273 348 36 73.4348534551 13.1087342177 54 46
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_5m2.lsm" 1 1.18409049668 484.169869785 272 246 24 189.641339932 36.1462525891 97 93
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_11m2.lsm" 1 3.13411457428 505.392248541 304 233 16 63.122957242 13.6718665147 35 32
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_18m2.lsm" 1 1.0472972973 485.25589989 134 99 33 112.233660958 22.5135454884 56 53
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_18m2.lsm" 2 2.14119038024 434.423829714 116 282 42 105.047260441 22.4168329868 56 53
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_18m2.lsm" 3 1.7698134773 475.833492932 399 348 39 100.28328794 20.159477882 56 53
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_6m1.lsm" 2 1.87504091808 604.976415397 370 235 35 137.460589817 30.3393564727 69 60
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_6m1.lsm" 3 2.30429415874 648.549292132 131 242 35 113.192680702 20.8478674316 69 60
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_12m2.lsm" 1 2.16544836092 468.048194685 278 224 19 54.154305557 11.8767182689 30 27
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_7m2.lsm" 1 2.69441284603 619.08233271 299 268 24 136.642711982 28.1164918145 77 68
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_13m2.lsm" 1 4.10295478912 568.902977145 249 270 17 73.8286647729 17.030064415 41 37
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_1m1.lsm" 1 2.46476889425 654.079417646 290 254 14 173.766938958 36.4156570322 94 89
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_1m2.lsm" 1 2.34515263213 685.733559343 296 251 13 193.374665786 38.4129291493 103 97
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_8m2.lsm" 1 3.26824485443 568.30410156 255 276 21 145.786800485 31.4364104357 81 73
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_14m2.lsm" 1 2.17434920562 508.071686445 296 225 25 88.6295213808 17.5550580475 49 44
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_19.lsm" 1 2.36561802692 445.607457535 299 222 20 186.333498642 37.5458753737 98 93
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_20.lsm" 1 2.57043679483 548.578738964 297 259 20 99.4274182673 20.5751014281 56 50
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_21.lsm" 1 1.96224163792 519.36804396 370 195 22 111.718302167 22.6374897565 63 58
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_21.lsm" 2 1.79872150143 486.72874511 122 296 22 118.214584641 24.9287762977 63 58
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_22.lsm" 1 2.57095336171 500.568555598 403 225 20 104.718109479 23.5391798164 55 49
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_22.lsm" 2 3.1481061572 509.058868426 100 131 21 91.800118687 17.774531266 55 49
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_22.lsm" 3 3.27053250776 487.783669864 296 429 21 102.406039499 23.303309962 55 49
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_23.lsm" 1 2.35095326716 577.597279917 265 272 20 53.446064107 11.1420860534 30 27
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_24.lsm" 1 1.8981160942 501.954017321 174 423 23 127.473794314 27.653389095 66 58
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_24.lsm" 2 2.72962923159 569.037465781 348 128 26 108.62392758 20.4825343444 66 58
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_25.lsm" 2 2.24809906172 553.850584714 333 122 23 130.527763046 27.1823608435 69 62
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_25.lsm" 3 3.00376261188 507.074648346 252 389 25 115.800216739 24.0959337486 69 62
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_26.lsm" 1 2.88021162143 566.692549662 345 323 22 107.63788423 19.6896081316 67 61
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_26.lsm" 2 2.49191862908 481.78357757 116 207 22 137.534874092 33.0593518288 67 61
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_27.lsm" 1 1.20670023166 490.630862866 154 242 27 111.089204466 22.0394142007 55 49
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_27.lsm" 2 1.45270761168 535.263820045 250 123 27 106.072480834 20.6837425757 55 49
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070320_27.lsm" 3 2.47555379032 517.697754774 376 383 32 83.0588103186 13.6876510685 55 49
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_1.lsm" 1 2.24832014063 452.267597797 268 255 17 9.64374182952 5.2523833166 7 4
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_2m1.lsm" 1 2.12921196883 584.267651179 300 249 14 134.05595727 28.4661360426 76 67
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_2m2.lsm" 1 2.6097552998 640.456476161 298 241 12 155.295086578 31.6714008764 87 80
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_9m2.lsm" 1 2.96524148169 460.250451967 275 217 15 90.7948589193 20.4945673858 51 45
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_15m2.lsm" 1 1.30918710065 624.830668026 259 281 31 89.3701198816 16.5835654246 51 44
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_3m1.lsm" 1 2.22828967167 530.165912309 302 227 11 111.079447114 23.5522705871 63 55
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_16m2.lsm" 1 1.10834589771 563.597407247 254 390 30 91.2158442416 16.8076742999 49 45
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_16m2.lsm" 2 2.27407499626 549.551163875 298 142 39 88.1341421862 17.9876302111 49 45
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_4m1.lsm" 1 1.63871632356 509.887928036 286 253 15 150.231070498 28.0225584455 82 75
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/wap_cas_20070320_10m2.lsm" 1 1.14662728327 611.730468579 267 230 27 137.153651902 24.13261431 74 68
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_01.lsm" 1 2.46658439253 451.088212175 315 247 23 86.3236074718 18.4182327167 49 43
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_02.lsm" 1 1.51440745766 418.716660164 309 399 25 131.913573531 28.5525882144 67 60
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_02.lsm" 2 2.18470597421 423.702885285 272 115 28 110.984548655 20.8030926331 67 60
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_03.lsm" 1 2.57438965444 456.996737192 377 346 30 123.016700321 28.3135421187 67 59
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_03.lsm" 2 3.21345924705 484.018346272 143 195 30 116.388426868 24.0666300792 67 59
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_04.lsm" 1 2.2976894822 471.492409222 242 295 24 121.487905696 26.6530467414 70 61
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_05.lsm" 1 3.24935326568 538.049733786 284 253 16 74.6737018222 18.1043378815 45 36
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_06.lsm" 1 2.12041797911 483.504732947 335 254 21 97.6912015678 21.5577305455 58 48
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_07.lsm" 1 1.65879956503 513.986814867 247 136 24 96.0675169078 22.4969599049 52 44
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_07.lsm" 2 3.35627965803 465.535267039 266 379 29 82.327658207 18.1809319534 52 44
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_08.lsm" 1 2.06458077097 547.386205157 403 179 21 80.9051294406 16.1862584422 53 43
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_08.lsm" 2 2.25792268787 433.557816461 95 257 23 100.389781953 24.0951556066 53 43
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070410_09.lsm" 2 1.80328801742 460.552187021 93 119 25 109.724804535 24.547283873 60 51
