"stimulation" "img" "nucleus" "size" "elongation" "x" "y" "z" "mean" "sigma" "threshold" "otsu"
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_57.lsm" 1 2.23156892156 579.876583532 428 391 23 97.9108328347 22.0492164994 48 43
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_57.lsm" 2 2.23156892156 378.620730781 64 116 23 69.901997149 16.093631363 48 43
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_57.lsm" 3 2.63907281158 555.192547409 210 328 25 90.5898778879 18.8027933426 48 43
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_58.lsm" 1 2.54629290805 498.268841034 326 228 20 90.6984065833 18.7392193573 49 46
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_59.lsm" 1 2.24551622732 532.16201333 305 96 23 98.7507824447 18.6661317326 53 49
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_59.lsm" 2 2.35876835009 489.093857014 304 399 23 101.762136508 20.1365559741 53 49
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_60.lsm" 1 2.09260675428 569.197891372 259 120 25 138.653850258 26.2426205939 73 70
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_60.lsm" 2 2.2887886375 529.759421433 351 395 24 137.599354874 25.1741291502 73 70
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_61.lsm" 1 1.9042721464 623.119983453 369 91 27 145.36604945 25.2594535301 79 76
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_61.lsm" 2 1.83313554323 480.967262825 123 238 27 148.34473758 27.9925471149 79 76
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_61.lsm" 3 1.53570334387 469.759967134 229 432 26 157.351452246 31.2248689869 79 76
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_62.lsm" 1 2.73255614445 642.935172952 97 79 24 135.585623101 25.5990695889 75 71
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_62.lsm" 2 2.11194395293 515.569463999 214 409 24 135.288567089 26.6553672341 75 71
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_62.lsm" 3 2.24830568847 545.46687471 412 103 24 149.507191859 31.7019207371 75 71
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_63.lsm" 1 2.79431238874 609.380113081 333 91 26 138.87658081 28.9036752014 75 69
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_63.lsm" 2 2.57870186491 471.987936613 181 417 26 137.650995017 28.7247625693 75 69
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_64.lsm" 1 2.41604528574 509.78182708 364 334 25 162.547004341 32.3586123513 86 81
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_64.lsm" 2 2.59109947003 502.000524008 207 124 26 162.709389582 32.3860939971 86 81
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_65.lsm" 1 3.32471427734 531.77214693 160 99 25 78.5368281995 16.711664775 42 39
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_65.lsm" 2 2.380340183 506.053948949 350 366 26 77.29196353 17.3622217657 42 39
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_66.lsm" 1 1.79765274237 550.955055808 289 70 30 134.970467183 29.6776238985 64 60
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_66.lsm" 2 1.98981562173 589.894295088 211 268 31 115.787682577 22.0347308386 64 60
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_66.lsm" 3 1.94531707478 522.099410964 138 428 30 111.614175593 21.1788631562 64 60
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_66.lsm" 4 2.94365636563 528.379544341 418 313 33 111.854640501 21.2442196443 64 60
