"integrated_intensity"	"physical_size"	"local_intensity"	"volume_levelling"	"size"	"leaf"	"intensity"	"spot"	"branch"	"spot_base"	"x"	"y"	"z"	"node"	"parent"	"node_children"	"parent_children"	
345714	10908.1	1.79769e+308	345714	8.9129e+06	0	0	0	1	1.06724e-307	511	511	33	149190992	0	552	-1	
226837	63.3139	122	226774	51733	0	1	0	1	0	297	348	27	175669312	149190992	127	552	
6	0.00367158	1	5.99266	3	1	2	0	0	0	269	390	25	174681552	175669312	0	127	
4	0.00244772	1	3.9951	2	1	2	0	0	0	297	412	25	174686976	175669312	0	127	
22	0.0122386	2	21.9755	10	0	2	0	0	0	338	410	24	174654832	175669312	1	127	
6	0.00244772	1	5.99266	2	1	3	0	0	0	338	409	24	173927048	174654832	0	1	
96	0.0428351	4	95.9143	35	0	2	0	0	0	299	389	25	174681888	175669312	1	127	
62	0.0220295	3	61.9339	18	0	3	0	0	0	299	388	25	173943744	174681888	1	1	
29	0.00856702	2	28.9657	7	0	4	0	0	0	298	387	25	173422624	173943744	1	1	
5	0.00122386	1	4.99388	1	1	5	0	0	0	298	388	24	173075200	173422624	0	1	
4	0.00244772	1	3.9951	2	1	2	0	0	0	359	377	24	174641648	175669312	0	127	
106	0.0514021	3	105.897	42	0	2	0	0	0	323	410	24	174654032	175669312	1	127	
60	0.0232533	2	59.9302	19	0	3	0	0	0	323	409	24	173927272	174654032	1	1	
12	0.00367158	1	11.9853	3	1	4	0	0	0	322	409	24	173424128	173927272	0	1	
25	0.0146863	2	24.9706	12	0	2	0	0	0	311	394	25	174603736	175669312	1	127	
3	0.00122386	1	2.99633	1	1	3	0	0	0	311	393	24	173924808	174603736	0	1	
27	0.0146863	2	26.9706	12	0	2	0	0	0	272	346	23	174589408	175669312	1	127	
9	0.00367158	1	8.98899	3	1	3	0	0	0	271	345	23	173887656	174589408	0	1	
2	0.00122386	1	1.99755	1	1	2	0	0	0	281	333	23	174585216	175669312	0	127	
344	0.134625	6	343.731	110	0	2	0	0	0	377	335	25	174668904	175669312	2	127	
229	0.0673123	5	228.798	55	0	3	0	0	0	372	335	24	173913568	174668904	1	2	
169	0.0428351	4	168.829	35	0	4	0	0	0	371	335	24	173417152	173913568	1	1	
109	0.0244772	3	108.878	20	0	5	0	0	0	371	334	24	173071480	173417152	1	1	
39	0.00734316	2	38.9559	6	0	6	0	0	0	369	334	23	172804344	173071480	1	1	
21	0.00367158	1	20.9743	3	1	7	0	0	0	370	334	23	172637288	172804344	0	1	
15	0.0061193	1	14.9816	5	1	3	0	0	0	376	334	25	173934424	174668904	0	2	
28	0.017134	1	27.9657	14	1	2	0	0	0	310	333	23	174484144	175669312	0	127	
372	0.122386	8	371.755	100	0	2	0	0	0	246	392	20	174451072	175669312	1	127	
308	0.0832225	7	307.75	68	0	3	0	0	0	245	392	20	173796008	174451072	1	1	
242	0.0562976	6	241.775	46	0	4	0	0	0	246	391	20	173338840	173796008	1	1	
174	0.0354919	5	173.823	29	0	5	0	0	0	246	390	20	173018048	173338840	1	1	
114	0.0208056	4	113.875	17	0	6	0	0	0	245	390	20	172785792	173018048	1	1	
54	0.00856702	3	53.94	7	0	7	0	0	0	245	388	19	172603576	172785792	1	1	
33	0.00489544	2	32.9608	4	0	8	0	0	0	245	390	19	172469304	172603576	1	1	
9	0.00122386	1	8.98899	1	1	9	0	0	0	245	389	19	172365816	172469304	0	1	
30196	2.98132	77	30190	2436	0	2	0	1	0	258	384	26	174697960	175669312	6	127	
243	0.0709839	9	242.787	58	0	3	0	0	0	240	363	24	173891128	174697960	1	6	
159	0.0367158	8	158.853	30	0	4	0	0	0	238	367	23	173403048	173891128	1	1	
99	0.0183579	7	98.9082	15	0	5	0	0	0	236	366	22	173047552	173403048	1	1	
64	0.00979088	6	63.9413	8	0	6	0	0	0	237	365	22	172806616	173047552	1	1	
52	0.00734316	5	51.9486	6	0	7	0	0	0	238	364	22	172629488	172806616	1	1	
45	0.0061193	4	44.951	5	0	8	0	0	0	238	363	22	172489136	172629488	1	1	
29	0.00367158	3	28.967	3	0	9	0	0	0	237	364	22	172380872	172489136	1	1	
11	0.00122386	2	10.9865	1	1	11	0	0	0	237	363	22	172227440	172380872	0	1	
308	0.061193	13	307.816	50	0	3	0	0	0	242	369	25	173953640	174697960	1	6	
266	0.044059	12	265.824	36	0	4	0	0	0	239	367	25	173441752	173953640	1	1	
238	0.0354919	11	237.823	29	0	5	0	0	0	240	365	25	173088416	173441752	1	1	
218	0.0305965	10	217.816	25	0	6	0	0	0	242	368	25	172837016	173088416	1	1	
176	0.0220295	9	175.846	18	0	7	0	0	0	240	367	25	172651296	172837016	1	1	
148	0.017134	8	147.863	14	0	8	0	0	0	242	367	25	172506056	172651296	1	1	
108	0.0110147	7	107.901	9	0	9	0	0	0	243	368	26	172392896	172506056	1	1	
