"stimulation" "img" "nucleus" "gene" "x" "y" "z" "px" "py" "pz" "dist" "ci" "mean" "max" "median" "nMean" "nMinimum" "nMaximum" "nMedian" "nSigma" "nKurtosis" "nSkewness"
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 2 "cas" 237 355 26 16.9238699647 25.3288361001 6.26888192053 0.137553163268 0.0539791149826 98.7461928934 178.0 89.208984375 84.7868020305 22.0 155.0 84.4375 33.7943243095 -1.20291321915 -0.0826688539225
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 2 "cas" 311 359 37 22.1963638248 25.6645356538 8.88264751154 0.48889177351 0.281865735944 94.496969697 165.0 89.208984375 94.6545454545 54.0 135.0 94.9375 16.1304342499 -0.0861291856351 -0.232840915911
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 2 "cas" 270 419 38 19.2600493997 29.9031410514 9.00613187602 0.593868511295 0.33714863696 110.924778761 203.0 101.896484375 112.752212389 75.0 147.0 116.8125 17.5081090919 -0.893984426471 -0.379597237418
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 2 "cas" 236 410 38 16.8461139544 29.3061858645 9.21113698732 0.628863366626 0.35623230742 98.4160583942 177.0 86.037109375 111.802919708 62.0 161.0 117.6875 23.726331679 -0.811580751196 -0.375312561965
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_30.lsm" 1 "wap" 301 159 13 17.2219326437 9.08967141548 3.12948792047 1.44814426802 0.720010958352 79.3669724771 125.0 76.125 90.8348623853 69.0 109.0 91.2890625 8.50763683238 -0.537348848043 -0.261960630003
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_30.lsm" 1 "wap" 298 219 15 17.0164767194 12.4991861371 3.50347222222 2.01387142033 0.890768951127 137.142857143 178.0 136.125 88.6666666667 73.0 111.0 88.0859375 8.68628878769 -0.116537352814 0.557215185138
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_30.lsm" 1 "wap" 275 231 17 15.7355020794 13.1980787945 4.05101381953 2.42796500404 0.980270741185 60.6408450704 111.0 57.375 90.9577464789 72.0 114.0 91.2890625 7.87299292396 -0.0508042517673 0.121274972842
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_30.lsm" 1 "wap" 188 219 17 10.7480295499 12.537648423 4.13214134433 1.41462684517 0.715027226386 152.050847458 192.0 145.875 95.1186440678 80.0 115.0 95.1328125 8.10934910812 -0.15702846104 0.332170426247
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_30.lsm" 1 "cas" 315 125 11 18.0057187818 7.15298717462 2.7568286245 0.323659312146 0.186220308363 102.29 179.0 96.841796875 73.2633333333 24.0 114.0 75.2734375 20.1089171942 -0.858564761147 -0.246400111785
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_30.lsm" 1 "cas" 347 170 16 19.8516152875 9.7272986297 3.83200660952 0.368717226726 0.211708901515 91.7819905213 151.0 87.052734375 85.2085308057 38.0 111.0 88.0859375 14.0622467629 0.883422581487 -1.03970329622
