"integrated_intensity"	"physical_size"	"local_intensity"	"volume_levelling"	"size"	"leaf"	"intensity"	"spot"	"branch"	"spot_base"	"x"	"y"	"z"	"node"	"parent"	"node_children"	"parent_children"	
1.73376e+06	6517.2	1.79769e+308	1.73376e+06	1.17965e+07	0	0	0	1	4.74523e-307	511	511	44	158286752	0	109	-1	
1.73002e+06	221.481	110	1.7298e+06	400893	0	1	0	1	0	267	279	29	194715536	158286752	164	109	
67	0.0182315	2	66.9635	33	0	2	0	0	0	276	204	28	193773896	194715536	1	164	
3	0.00055247	1	2.99834	1	1	3	0	0	0	278	200	28	192474256	193773896	0	1	
42	0.0104969	2	41.979	19	0	2	0	0	0	273	155	28	193766208	194715536	1	164	
12	0.00220988	1	11.9934	4	1	3	0	0	0	273	154	28	192467760	193766208	0	1	
107	0.0248612	3	106.95	45	0	2	0	0	0	241	239	28	193780728	194715536	1	164	
43	0.00718211	2	42.9785	13	0	3	0	0	0	240	238	28	192479632	193780728	1	1	
16	0.00220988	1	15.9912	4	1	4	0	0	0	240	237	28	191186368	192479632	0	1	
93	0.0232037	2	92.9536	42	0	2	0	0	0	248	228	28	193737056	194715536	1	164	
27	0.00497223	1	26.9851	9	1	3	0	0	0	248	229	27	192443760	193737056	0	1	
90	0.0237562	2	89.9525	43	0	2	0	0	0	392	219	28	193675504	194715536	1	164	
12	0.00220988	1	11.9934	4	1	3	0	0	0	392	217	28	192441632	193675504	0	1	
619	0.104969	5	618.79	190	0	2	0	0	0	289	112	28	193763184	194715536	1	164	
473	0.064639	4	472.806	117	0	3	0	0	0	288	110	28	192463880	193763184	1	1	
344	0.0408828	3	343.836	74	0	4	0	0	0	288	109	28	191173752	192463880	1	1	
192	0.0198889	2	191.901	36	0	5	0	0	0	287	108	28	190009008	191173752	1	1	
72	0.00662964	1	71.9602	12	1	6	0	0	0	286	108	27	189010024	190009008	0	1	
2	0.00055247	1	1.9989	1	1	2	0	0	0	245	237	26	193680432	194715536	0	164	
14	0.00386729	1	13.9923	7	1	2	0	0	0	360	217	25	193600328	194715536	0	164	
8	0.00220988	1	7.99558	4	1	2	0	0	0	313	145	26	193652248	194715536	0	164	
18	0.00497223	1	17.9901	9	1	2	0	0	0	241	136	25	193574424	194715536	0	164	
2577	0.240877	20	2576.52	436	0	2	0	0	0	258	275	29	193791440	194715536	1	164	
2353	0.179	19	2352.46	324	0	3	0	0	0	265	285	28	192488888	193791440	1	1	
2131	0.138118	18	2130.45	250	0	4	0	0	0	258	276	29	191192976	192488888	1	1	
1935	0.111046	17	1934.44	201	0	5	0	0	0	262	285	28	190053128	191192976	1	1	
1740	0.0895002	16	1739.46	162	0	6	0	0	0	259	276	29	189072696	190053128	1	1	
1566	0.0734785	15	1565.49	133	0	7	0	0	0	263	284	28	188254344	189072696	1	1	
1468	0.0657439	14	1467.47	119	0	8	0	0	0	262	276	29	187579512	188254344	1	1	
1308	0.0546945	13	1307.51	99	0	9	0	0	0	265	279	28	187013152	187579512	1	1	
1173	0.0464075	12	1172.54	84	0	10	0	0	0	263	277	27	186535680	187013152	1	1	
1093	0.0419877	11	1092.54	76	0	11	0	0	0	262	283	27	186137160	186535680	1	1	
961	0.0353581	10	960.576	64	0	12	0	0	0	260	277	29	185801608	186137160	1	1	
781	0.027071	9	780.648	49	0	13	0	0	0	263	278	27	185517608	185801608	1	1	
