"integrated_intensity"	"physical_size"	"local_intensity"	"volume_levelling"	"size"	"leaf"	"intensity"	"spot"	"branch"	"spot_base"	"x"	"y"	"z"	"node"	"parent"	"node_children"	"parent_children"	
703	0.0237562	8	702.667	43	0	14	0	0	0	264	280	28	185276528	185517608	1	1	
535	0.0171266	7	534.743	31	0	15	0	0	0	263	280	27	185074792	185276528	1	1	
430	0.0132593	6	429.788	24	0	16	0	0	0	262	282	28	184899576	185074792	1	1	
302	0.00883952	5	301.85	16	0	17	0	0	0	262	280	27	184742048	184899576	1	1	
251	0.00718211	4	250.871	13	0	18	0	0	0	263	280	28	184617616	184742048	1	1	
161	0.00441976	3	160.916	8	0	19	0	0	0	260	280	28	184502080	184617616	1	1	
123	0.00331482	2	122.934	6	0	20	0	0	0	262	281	28	184407352	184502080	1	1	
63	0.00165741	1	62.9652	3	1	21	0	0	0	262	280	28	184315520	184407352	0	1	
12	0.00331482	1	11.9934	6	1	2	0	0	0	340	273	24	193536200	194715536	0	164	
2062	0.244744	13	2061.51	443	0	2	0	0	0	234	277	26	193689912	194715536	1	164	
1814	0.176238	12	1813.47	319	0	3	0	0	0	235	279	25	192343088	193689912	1	1	
1571	0.131488	11	1570.47	238	0	4	0	0	0	236	278	25	191077672	192343088	1	1	
1367	0.103312	10	1366.48	187	0	5	0	0	0	236	277	25	189959512	191077672	1	1	
1097	0.0734785	9	1096.56	133	0	6	0	0	0	237	276	25	188999984	189959512	1	1	
899	0.055247	8	898.613	100	0	7	0	0	0	237	275	25	188197608	188999984	1	1	
696	0.0392254	7	695.686	71	0	8	0	0	0	239	275	24	187509712	188197608	1	1	
544	0.0287284	6	543.741	52	0	9	0	0	0	237	277	24	186957048	187509712	1	1	
373	0.0182315	5	372.818	33	0	10	0	0	0	238	274	24	186492176	186957048	1	1	
283	0.0132593	4	282.854	24	0	11	0	0	0	237	276	24	186097632	186492176	1	1	
151	0.00662964	3	150.92	12	0	12	0	0	0	237	275	24	185757712	186097632	1	1	
79	0.00331482	2	78.9569	6	0	13	0	0	0	237	276	23	185481896	185757712	1	1	
14	0.00055247	1	13.9923	1	1	14	0	0	0	236	275	23	185244192	185481896	0	1	
34	0.00939199	1	33.9812	17	1	2	0	0	0	250	167	25	193581552	194715536	0	164	
4	0.00110494	1	3.99779	2	1	2	0	0	0	244	152	25	193579312	194715536	0	164	
1987	0.23038	14	1986.54	417	0	2	0	0	0	284	360	25	193707792	194715536	3	164	
1719	0.156902	13	1718.53	284	0	3	0	0	0	284	361	25	192359400	193707792	1	3	
1524	0.120991	12	1523.52	219	0	4	0	0	0	281	360	25	191089320	192359400	1	1	
1296	0.0895002	11	1295.55	162	0	5	0	0	0	276	359	24	189929240	191089320	1	1	
1121	0.0701637	10	1120.58	127	0	6	0	0	0	282	361	25	188977848	189929240	2	1	
57	0.00386729	4	56.9729	7	0	7	0	0	0	273	358	24	188179952	188977848	3	2	
16	0.00110494	1	15.9912	2	1	8	0	0	0	272	358	24	187516392	188179952	0	3	
19	0.00110494	3	18.9901	2	0	9	0	0	0	274	359	24	186962648	188179952	1	3	
10	0.00055247	1	9.99448	1	1	10	0	0	0	273	359	24	186496096	186962648	0	1	
8	0.00055247	1	7.99558	1	1	8	0	0	0	275	360	24	187516616	188179952	0	3	
914	0.0524847	9	913.633	95	0	7	0	0	0	281	361	25	188180288	188977848	3	2	
733	0.0386729	8	732.691	70	0	8	0	0	0	281	360	23	187491160	188180288	3	3	
553	0.027071	7	552.756	49	0	9	0	0	0	282	355	21	186919312	187491160	1	3	
454	0.0209939	6	453.79	38	0	10	0	0	0	281	357	22	186459552	186919312	1	1	
364	0.0160216	5	363.824	29	0	11	0	0	0	281	358	22	186067600	186459552	1	1	
265	0.0110494	4	264.867	20	0	12	0	0	0	279	359	22	185746952	186067600	2	1	
57	0.00220988	3	56.9713	4	0	13	0	0	0	280	359	22	185472432	185746952	1	2	
44	0.00165741	2	43.9768	3	0	14	0	0	0	281	360	22	185238224	185472432	1	1	
30	0.00110494	1	29.9834	2	1	15	0	0	0	280	360	22	185042264	185238224	0	1	
136	0.0055247	3	135.928	10	0	13	0	0	0	282	359	21	185459176	185746952	1	2	
71	0.00276235	2	70.9613	5	0	14	0	0	0	280	358	21	185225128	185459176	1	1	
15	0.00055247	1	14.9917	1	1	15	0	0	0	281	358	21	185030152	185225128	0	1	
9	0.00055247	1	8.99503	1	1	9	0	0	0	283	361	22	186920280	187491160	0	3	
43	0.00220988	4	42.9801	4	0	9	0	0	0	282	361	23	186943872	187491160	1	3	
34	0.00165741	3	33.9818	3	0	11	0	0	0	279	361	23	186087904	186943872	1	1	
12	0.00055247	1	11.9934	1	1	12	0	0	0	280	361	23	185763056	186087904	0	1	
11	0.00055247	4	10.9939	1	1	11	0	0	0	283	362	23	186088128	188180288	0	3	
9	0.00055247	2	8.99503	1	1	9	0	0	0	282	362	24	186962872	188180288	0	3	
3	0.00055247	1	2.99834	1	1	3	0	0	0	287	363	23	192222224	193707792	0	3	
3	0.00055247	1	2.99834	1	1	3	0	0	0	286	363	24	192296616	193707792	0	3	
296	0.0591143	4	295.882	107	0	2	0	0	0	291	352	26	193706560	194715536	1	164	
180	0.027071	3	179.919	49	0	3	0	0	0	291	354	25	192357944	193706560	1	1	
108	0.0138118	2	107.945	25	0	4	0	0	0	292	353	25	191087864	192357944	1	1	
40	0.00441976	1	39.9779	8	1	5	0	0	0	291	352	25	189927560	191087864	0	1	
58	0.0160216	1	57.968	29	1	2	0	0	0	331	279	25	193452104	194715536	0	164	
12	0.00331482	1	11.9934	6	1	2	0	0	0	288	260	23	193442360	194715536	0	164	
381	0.0806606	3	380.839	146	0	2	0	0	0	226	208	25	193597640	194715536	1	164	
215	0.0348056	2	214.896	63	0	3	0	0	0	226	207	25	192325360	193597640	1	1	
104	0.0143642	1	103.943	26	1	4	0	0	0	226	206	25	191005072	192325360	0	1	
53	0.0127068	2	52.9746	23	0	2	0	0	0	212	171	24	193496560	194715536	1	164	
21	0.00386729	1	20.9884	7	1	3	0	0	0	211	170	24	192240552	193496560	0	1	
1716	0.370707	5	1715.26	671	0	2	0	0	0	208	198	27	193727088	194715536	3	164	
57	0.0104969	1	56.9685	19	1	3	0	0	0	202	194	25	192248616	193727088	0	3	
785	0.119886	4	784.64	217	0	3	0	0	0	208	199	26	192385120	193727088	2	3	
236	0.0292809	3	235.883	53	0	4	0	0	0	214	195	26	191111304	192385120	1	2	
116	0.0127068	2	115.936	23	0	5	0	0	0	215	195	25	189896048	191111304	1	1	
6	0.00055247	1	5.99669	1	1	6	0	0	0	214	194	25	188991960	189896048	0	1	
165	0.0198889	3	164.92	36	0	4	0	0	0	212	203	24	191004960	192385120	1	2	
81	0.00828705	2	80.9586	15	0	5	0	0	0	213	204	23	189844800	191004960	1	1	
36	0.00331482	1	35.9801	6	1	6	0	0	0	212	204	23	188912976	189844800	0	1	
12	0.00220988	1	11.9934	4	1	3	0	0	0	217	205	22	192089976	193727088	0	3	
20	0.0055247	1	19.989	10	1	2	0	0	0	244	187	22	193323848	194715536	0	164	
44	0.0121543	1	43.9757	22	1	2	0	0	0	210	178	24	193414328	194715536	0	164	
4	0.00110494	1	3.99779	2	1	2	0	0	0	282	98	23	193391672	194715536	0	164	
95	0.0243087	2	94.9514	44	0	2	0	0	0	226	172	23	193319816	194715536	1	164	
21	0.00386729	1	20.9884	7	1	3	0	0	0	225	171	23	192162464	193319816	0	1	
252	0.0546945	3	251.891	99	0	2	0	0	0	232	166	22	193229672	194715536	1	164	
134	0.0220988	2	133.934	40	0	3	0	0	0	231	165	22	192078480	193229672	1	1	
56	0.00773458	1	55.9691	14	1	4	0	0	0	232	165	21	190703808	192078480	0	1	
93	0.0215463	3	92.9569	39	0	2	0	0	0	239	170	23	193413432	194715536	1	164	
43	0.00773458	2	42.9768	14	0	3	0	0	0	239	172	22	192079600	193413432	1	1	
4	0.00055247	1	3.99779	1	1	4	0	0	0	239	170	22	190858304	192079600	0	1	
187	0.0453025	3	186.909	82	0	2	0	0	0	308	258	22	193349752	194715536	1	164	
61	0.0104969	2	60.9685	19	0	3	0	0	0	307	257	22	192105840	193349752	1	1	
16	0.00220988	1	15.9912	4	1	4	0	0	0	307	257	21	190808920	192105840	0	1	
2358	0.421535	6	2357.16	763	0	2	0	0	0	238	260	28	193781960	194715536	3	164	
1519	0.200547	5	1518.4	363	0	3	0	0	0	238	259	28	192481272	193781960	1	3	
1126	0.128173	4	1125.49	232	0	4	0	0	0	238	258	28	191187040	192481272	1	1	
690	0.0679538	3	689.66	123	0	5	0	0	0	238	257	28	190029352	191187040	1	1	
365	0.0320433	2	364.808	58	0	6	0	0	0	239	257	27	189051944	190029352	3	1	
42	0.00331482	1	41.9768	6	1	7	0	0	0	242	251	24	188166552	189051944	0	3	
21	0.00165741	1	20.9884	3	1	7	0	0	0	240	251	26	188220152	189051944	0	3	
56	0.00441976	1	55.9691	8	1	7	0	0	0	239	256	27	188240384	189051944	0	3	
9	0.00165741	1	8.99503	3	1	3	0	0	0	241	240	22	192099456	193781960	0	3	
96	0.0165741	2	95.9503	30	0	3	0	0	0	234	265	24	192269928	193781960	1	3	
24	0.00331482	1	23.9867	6	1	4	0	0	0	234	263	23	190953224	192269928	0	1	
56	0.0154692	1	55.9691	28	1	2	0	0	0	252	229	22	193253824	194715536	0	164	
75	0.0198889	2	74.9602	36	0	2	0	0	0	291	169	21	193226464	194715536	1	164	
9	0.00165741	1	8.99503	3	1	3	0	0	0	287	164	21	191991024	193226464	0	1	
24	0.00662964	1	23.9867	12	1	2	0	0	0	281	139	21	193119336	194715536	0	164	
20	0.0055247	1	19.989	10	1	2	0	0	0	343	236	19	193063680	194715536	0	164	
22	0.00607717	1	21.9878	11	1	2	0	0	0	274	153	19	192943152	194715536	0	164	
8	0.00220988	1	7.99558	4	1	2	0	0	0	246	106	19	193019336	194715536	0	164	
2	0.00055247	1	1.9989	1	1	2	0	0	0	246	237	19	193064800	194715536	0	164	
92	0.0220988	2	91.9558	40	0	2	0	0	0	311	232	18	192975104	194715536	1	164	
36	0.00662964	1	35.9801	12	1	3	0	0	0	310	231	18	191744928	192975104	0	1	
794	0.14088	6	793.718	255	0	2	0	0	0	282	158	21	193224896	194715536	1	164	
570	0.0790032	5	569.763	143	0	3	0	0	0	282	156	21	191987440	193224896	1	1	
381	0.0441976	4	380.823	80	0	4	0	0	0	283	156	20	190699888	191987440	1	1	
201	0.0193365	3	200.903	35	0	5	0	0	0	282	155	20	189578472	190699888	1	1	
116	0.00994446	2	115.94	18	0	6	0	0	0	284	154	19	188691328	189578472	1	1	
56	0.00441976	1	55.9691	8	1	7	0	0	0	284	153	19	187936656	188691328	0	1	
73	0.017679	2	72.9646	32	0	2	0	0	0	287	142	18	192939832	194715536	1	164	
27	0.00497223	1	26.9851	9	1	3	0	0	0	287	143	17	191622384	192939832	0	1	
791	0.114361	8	790.771	207	0	2	0	0	0	225	174	15	192698776	194715536	1	164	
645	0.074031	7	644.778	134	0	3	0	0	0	224	173	15	191469456	192698776	1	1	
525	0.0519322	6	524.792	94	0	4	0	0	0	224	172	15	190327816	191469456	1	1	
401	0.0348056	5	400.826	63	0	5	0	0	0	224	173	14	189270600	190327816	1	1	
301	0.0237562	4	300.857	43	0	6	0	0	0	226	169	14	188430488	189270600	1	1	
211	0.0154692	3	210.892	28	0	7	0	0	0	222	171	14	187727288	188430488	1	1	
113	0.00773458	2	112.938	14	0	8	0	0	0	223	171	14	187108000	187727288	1	1	
9	0.00055247	1	8.99503	1	1	9	0	0	0	224	170	13	186614736	187108000	0	1	
278	0.056352	4	277.887	102	0	2	0	0	0	376	197	14	192629384	194715536	1	164	
160	0.0237562	3	159.929	43	0	3	0	0	0	375	196	14	191397080	192629384	1	1	
94	0.0116019	2	93.9536	21	0	4	0	0	0	378	196	13	190199112	191397080	1	1	
50	0.0055247	1	49.9724	10	1	5	0	0	0	378	195	13	189212632	190199112	0	1	
28	0.00773458	1	27.9845	14	1	2	0	0	0	240	194	12	192505944	194715536	0	164	
4133	0.60385	13	4131.79	1093	0	2	0	0	0	233	191	22	193326312	194715536	3	164	
1877	0.175133	12	1876.47	317	0	3	0	0	0	239	181	15	191472816	193326312	1	3	
1640	0.131488	11	1639.47	238	0	4	0	0	0	235	179	15	190331472	191472816	1	1	
1432	0.102759	10	1431.49	186	0	5	0	0	0	238	180	15	189331704	190331472	1	1	
1207	0.0778983	9	1206.53	141	0	6	0	0	0	238	179	15	188480096	189331704	2	1	
978	0.0569044	8	977.602	103	0	7	0	0	0	235	180	14	187727512	188480096	1	2	
796	0.0425402	7	795.66	77	0	8	0	0	0	234	183	13	187109120	187727512	1	1	
676	0.0342531	6	675.692	62	0	9	0	0	0	233	178	13	186615408	187109120	1	1	
550	0.0265186	5	549.735	48	0	10	0	0	0	234	182	13	186206776	186615408	1	1	
420	0.0193365	4	419.787	35	0	11	0	0	0	235	181	13	185857784	186206776	1	1	
255	0.0110494	3	254.867	20	0	12	0	0	0	235	180	13	185568448	185857784	1	1	
147	0.00607717	2	146.921	11	0	13	0	0	0	233	181	12	185322456	185568448	1	1	
56	0.00220988	1	55.9691	4	1	14	0	0	0	234	181	12	185099056	185322456	0	1	
7	0.00055247	1	6.99613	1	1	7	0	0	0	238	178	15	187764840	188480096	0	2	
1379	0.187287	6	1378.44	339	0	3	0	0	0	233	191	21	191999944	193326312	1	3	
947	0.107732	5	946.569	195	0	4	0	0	0	233	190	21	190786560	191999944	1	1	
579	0.0569044	4	578.715	103	0	5	0	0	0	233	189	21	189719120	190786560	1	1	
284	0.0243087	3	283.854	44	0	6	0	0	0	233	191	20	188757024	189719120	1	1	
122	0.00939199	2	121.934	17	0	7	0	0	0	233	190	20	187943896	188757024	1	1	
24	0.00165741	1	23.9867	3	1	8	0	0	0	232	189	20	187322144	187943896	0	1	
9	0.00165741	1	8.99503	3	1	3	0	0	0	238	179	17	191635448	193326312	0	3	
43	0.0116019	2	42.9768	21	0	2	0	0	0	321	161	13	192495456	194715536	1	164	
3	0.00055247	1	2.99834	1	1	3	0	0	0	320	161	12	191259680	192495456	0	1	
32	0.00883952	1	31.9823	16	1	2	0	0	0	306	157	14	192546520	194715536	0	164	
4	0.00110494	1	3.99779	2	1	2	0	0	0	285	165	11	149890376	194715536	0	164	
24	0.00607717	2	23.9878	11	0	2	0	0	0	274	144	10	154226416	194715536	2	164	
3	0.00055247	1	2.99834	1	1	3	0	0	0	276	142	10	148685736	154226416	0	2	
3	0.00055247	1	2.99834	1	1	3	0	0	0	273	143	10	148649520	154226416	0	2	
135	0.0342531	2	134.931	62	0	2	0	0	0	281	175	8	160328376	194715536	1	164	
33	0.00607717	1	32.9818	11	1	3	0	0	0	281	173	8	161693576	160328376	0	1	
64	0.0154692	2	63.9691	28	0	2	0	0	0	318	265	9	154333536	194715536	1	164	
24	0.00441976	1	23.9867	8	1	3	0	0	0	317	264	9	148901856	154333536	0	1	
1.55967e+06	139.32	109	1.55939e+06	252176	0	2	0	1	0	354	218	29	193791104	194715536	165	164	
9	0.00165741	1	8.99503	3	1	3	0	0	0	367	337	27	192461864	193791104	0	165	
63	0.0116019	1	62.9652	21	1	3	0	0	0	398	227	27	192393256	193791104	0	165	
764	0.092815	7	763.722	168	0	3	0	0	0	389	196	28	192474144	193791104	1	165	
599	0.0624291	6	598.75	113	0	4	0	0	0	390	194	28	191181256	192474144	1	1	
431	0.0392254	5	430.804	71	0	5	0	0	0	390	196	28	190044096	191181256	1	1	
266	0.0209939	4	265.874	38	0	6	0	0	0	391	196	28	189063776	190044096	1	1	
176	0.0127068	3	175.911	23	0	7	0	0	0	396	198	27	188251432	189063776	1	1	
113	0.00773458	2	112.938	14	0	8	0	0	0	393	195	28	187562416	188251432	1	1	
9	0.00055247	1	8.99503	1	1	9	0	0	0	394	197	27	187000720	187562416	0	1	
54	0.00994446	1	53.9702	18	1	3	0	0	0	327	187	27	192382208	193791104	0	165	
194	0.0314908	3	193.906	57	0	3	0	0	0	375	185	27	192381872	193791104	1	165	
89	0.0121543	2	88.9514	22	0	4	0	0	0	376	183	27	191108504	192381872	1	1	
5	0.00055247	1	4.99724	1	1	5	0	0	0	375	182	26	189985120	191108504	0	1	
36	0.00662964	1	35.9801	12	1	3	0	0	0	388	306	25	192349136	193791104	0	165	
186	0.0292809	3	185.912	53	0	3	0	0	0	253	191	27	192435808	193791104	1	165	
93	0.0121543	2	92.9514	22	0	4	0	0	0	253	191	26	191109848	192435808	1	1	
25	0.00276235	1	24.9862	5	1	5	0	0	0	253	189	26	189985680	191109848	0	1	
12	0.00220988	1	11.9934	4	1	3	0	0	0	374	238	24	192260560	193791104	0	165	
77	0.0132593	2	76.9602	24	0	3	0	0	0	179	232	26	192329800	193791104	3	165	
8	0.00110494	1	7.99558	2	1	4	0	0	0	178	230	25	191066736	192329800	0	3	
4	0.00055247	1	3.99779	1	1	4	0	0	0	178	229	26	191116904	192329800	0	3	
8	0.00110494	1	7.99558	2	1	4	0	0	0	179	231	26	191117240	192329800	0	3	
72	0.0132593	1	71.9602	24	1	3	0	0	0	357	180	26	192244136	193791104	0	165	
63	0.0116019	1	62.9652	21	1	3	0	0	0	325	161	25	192238312	193791104	0	165	
481	0.0690588	5	480.793	125	0	3	0	0	0	206	294	25	192344992	193791104	1	165	
289	0.0337007	4	288.865	61	0	4	0	0	0	207	292	25	191078680	192344992	1	1	
153	0.0149167	3	152.925	27	0	5	0	0	0	208	292	24	189916056	191078680	1	1	
83	0.00718211	2	82.9569	13	0	6	0	0	0	208	291	24	188968592	189916056	1	1	
35	0.00276235	1	34.9807	5	1	7	0	0	0	207	290	24	188173120	188968592	0	1	
579	0.0883952	4	578.735	160	0	3	0	0	0	354	235	26	192330136	193791104	1	165	
276	0.0325957	3	275.87	59	0	4	0	0	0	358	234	25	191067408	192330136	1	1	
168	0.017679	2	167.912	32	0	5	0	0	0	358	233	25	189950144	191067408	1	1	
48	0.00441976	1	47.9735	8	1	6	0	0	0	357	232	25	188957656	189950144	0	1	
185	0.0303859	3	184.909	55	0	3	0	0	0	305	207	26	192324240	193791104	1	165	
71	0.00939199	2	70.9624	17	0	4	0	0	0	306	206	24	191005184	192324240	1	1	
15	0.00165741	1	14.9917	3	1	5	0	0	0	305	204	24	189897840	191005184	0	1	
15	0.00276235	1	14.9917	5	1	3	0	0	0	302	165	21	191991360	193791104	0	165	
7962	0.60606	29	7960.18	1097	0	3	0	0	0	277	183	28	192470896	193791104	4	165	
6761	0.391149	28	6759.44	708	0	4	0	0	0	281	178	28	191178904	192470896	2	4	
6160	0.308278	27	6158.46	558	0	5	0	0	0	281	177	28	190041184	191178904	2	2	
5679	0.255241	26	5677.47	462	0	6	0	0	0	289	173	28	189061536	190041184	1	2	
5295	0.219883	25	5293.46	398	0	7	0	0	0	295	170	26	188249192	189061536	1	1	
5050	0.200547	24	5048.4	363	0	8	0	0	0	291	172	28	187571040	188249192	1	1	
4698	0.176238	23	4696.41	319	0	9	0	0	0	290	172	28	187007776	187571040	1	1	
4284	0.150824	22	4282.49	273	0	10	0	0	0	289	172	28	186534224	187007776	1	1	
3974	0.133698	21	3972.53	242	0	11	0	0	0	291	162	28	186135368	186534224	1	1	
3688	0.119334	20	3686.57	216	0	12	0	0	0	291	171	28	185797392	186135368	1	1	
3352	0.103864	19	3350.65	188	0	13	0	0	0	295	166	27	185515464	185797392	1	1	
3001	0.0889477	18	2999.75	161	0	14	0	0	0	292	170	28	185275184	185515464	1	1	
2679	0.0762409	17	2677.86	138	0	15	0	0	0	286	168	28	185073000	185275184	1	1	
2439	0.0674014	16	2437.92	122	0	16	0	0	0	293	164	28	184898568	185073000	1	1	
2071	0.0546945	15	2070.07	99	0	17	0	0	0	293	168	28	184741264	184898568	1	1	
1816	0.0464075	14	1815.16	84	0	18	0	0	0	293	168	26	184616688	184741264	1	1	
1600	0.0397778	13	1599.24	72	0	19	0	0	0	291	169	27	184501280	184616688	1	1	
1239	0.0292809	12	1238.41	53	0	20	0	0	0	293	167	28	184406760	184501280	2	1	
21	0.00055247	1	20.9884	1	1	21	0	0	0	293	166	26	184313680	184406760	0	2	
898	0.0198889	11	897.582	36	0	21	0	0	0	291	168	27	184315072	184406760	1	2	
772	0.0165741	10	771.635	30	0	22	0	0	0	291	167	27	184245104	184315072	1	1	
640	0.0132593	9	639.695	24	0	23	0	0	0	290	164	28	184179344	184245104	1	1	
548	0.0110494	8	547.735	20	0	24	0	0	0	292	165	28	184124632	184179344	1	1	
500	0.00994446	7	499.751	18	0	25	0	0	0	292	167	28	184075264	184124632	1	1	
425	0.00828705	6	424.785	15	0	26	0	0	0	288	167	28	184028440	184075264	1	1	
347	0.00662964	5	346.821	12	0	27	0	0	0	289	165	28	183989544	184028440	1	1	
266	0.00497223	4	265.861	9	0	28	0	0	0	290	165	28	183956600	183989544	1	1	
210	0.00386729	3	209.888	7	0	29	0	0	0	291	167	28	183925880	183956600	1	1	
152	0.00276235	2	151.917	5	0	30	0	0	0	289	167	28	183898608	183925880	1	1	
62	0.00110494	1	61.9657	2	1	31	0	0	0	290	167	28	183874384	183898608	0	1	
6	0.00055247	1	5.99669	1	1	6	0	0	0	282	175	28	189061872	190041184	0	2	
5	0.00055247	1	4.99724	1	1	5	0	0	0	283	177	24	189893136	191178904	0	2	
56	0.00718211	2	55.9713	13	0	4	0	0	0	297	171	22	190858864	192470896	1	4	
20	0.00220988	1	19.989	4	1	5	0	0	0	297	170	22	189778096	190858864	0	1	
64	0.00883952	1	63.9646	16	1	4	0	0	0	304	166	23	190927208	192470896	0	4	
4	0.00055247	1	3.99779	1	1	4	0	0	0	297	174	24	190997496	192470896	0	4	
1267	0.148062	10	1266.56	268	0	3	0	0	0	324	108	25	192300760	193791104	5	165	
127	0.0143642	4	126.943	26	0	4	0	0	0	338	107	23	190984392	192300760	1	5	
79	0.00773458	3	78.9613	14	0	5	0	0	0	340	107	23	189827704	190984392	2	1	
6	0.00055247	1	5.99669	1	1	6	0	0	0	337	105	22	188852208	189827704	0	2	
38	0.00331482	2	37.9801	6	0	6	0	0	0	338	106	23	188852432	189827704	1	2	
14	0.00110494	1	13.9923	2	1	7	0	0	0	340	106	22	188073608	188852432	0	1	
8	0.00110494	1	7.99558	2	1	4	0	0	0	335	105	23	190917616	192300760	0	5	
866	0.0839755	9	865.664	152	0	4	0	0	0	324	106	25	191045608	192300760	1	5	
630	0.0513797	8	629.743	93	0	5	0	0	0	329	104	24	189879512	191045608	1	1	
495	0.036463	7	494.781	66	0	6	0	0	0	324	103	24	188941344	189879512	3	1	
7	0.00055247	1	6.99613	1	1	7	0	0	0	330	100	20	187977976	188941344	0	3	
355	0.0237562	6	354.834	43	0	7	0	0	0	327	103	24	188151024	188941344	2	3	
221	0.0132593	5	220.894	24	0	8	0	0	0	325	102	24	187464024	188151024	4	2	
40	0.00220988	3	39.9801	4	0	9	0	0	0	328	100	21	186854512	187464024	2	4	
11	0.00055247	2	10.9939	1	1	11	0	0	0	329	100	21	186025680	186854512	0	2	
11	0.00055247	2	10.9939	1	1	11	0	0	0	330	101	21	186025904	186854512	0	2	
18	0.00110494	1	17.9901	2	1	9	0	0	0	330	102	22	186890456	187464024	0	4	
52	0.00276235	4	51.9751	5	0	9	0	0	0	326	100	22	186890344	187464024	2	4	
10	0.00055247	1	9.99448	1	1	10	0	0	0	326	99	22	186436224	186890344	0	2	
33	0.00165741	3	32.9834	3	0	10	0	0	0	327	101	22	186436336	186890344	2	2	
12	0.00055247	2	11.9934	1	1	12	0	0	0	327	100	22	185729664	186436336	0	2	
11	0.00055247	1	10.9939	1	1	11	0	0	0	328	101	22	186047592	186436336	0	2	
55	0.00331482	2	54.9702	6	0	9	0	0	0	328	102	23	186921512	187464024	1	4	
10	0.00055247	1	9.99448	1	1	10	0	0	0	326	101	23	186461008	186921512	0	1	
8	0.00055247	1	7.99558	1	1	8	0	0	0	324	101	24	187492840	188151024	0	2	
7	0.00055247	1	6.99613	1	1	7	0	0	0	327	99	21	188025792	188941344	0	3	
4	0.00055247	1	3.99779	1	1	4	0	0	0	321	102	25	191045272	192300760	0	5	
4	0.00055247	1	3.99779	1	1	4	0	0	0	319	101	25	191045160	192300760	0	5	
21	0.00386729	1	20.9884	7	1	3	0	0	0	261	156	23	192158136	193791104	0	165	
845	0.13867	3	844.584	251	0	3	0	0	0	266	328	27	192460744	193791104	3	165	
